epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,694.469,0.51129,0.42316,0.97749,0.86055,0.86309,0.89273,0.64854,0.99647,0.73352,1.30456,0.000569375,0.000569375,0.000569375
57,706.742,0.50236,0.4077,0.97088,0.87355,0.86863,0.88212,0.64567,0.94847,0.72365,1.29804,0.000557,0.000557,0.000557
58,718.974,0.49279,0.39187,0.96593,0.83809,0.77819,0.81362,0.57292,1.00623,1.21273,1.35076,0.000544625,0.000544625,0.000544625
59,731.204,0.51441,0.40699,0.9804,0.84094,0.85057,0.87389,0.63513,1.02074,0.86027,1.31808,0.00053225,0.00053225,0.00053225
60,743.423,0.51361,0.40475,0.97288,0.84655,0.83164,0.85374,0.64563,0.97369,0.77389,1.27747,0.000519875,0.000519875,0.000519875
61,755.654,0.50176,0.40005,0.96714,0.86841,0.82529,0.84339,0.61928,0.95342,0.8635,1.28174,0.0005075,0.0005075,0.0005075
62,767.906,0.48686,0.39178,0.96293,0.85985,0.88963,0.89454,0.66149,0.95538,0.74876,1.31277,0.000495125,0.000495125,0.000495125
63,780.178,0.47673,0.37807,0.95515,0.88811,0.78737,0.86296,0.60437,0.98945,0.92144,1.35512,0.00048275,0.00048275,0.00048275
64,792.424,0.47876,0.38381,0.96275,0.87122,0.86579,0.90197,0.65799,0.93837,0.70645,1.30288,0.000470375,0.000470375,0.000470375
65,804.703,0.4732,0.37364,0.95457,0.86063,0.88734,0.89941,0.64383,0.91757,0.69984,1.28525,0.000458,0.000458,0.000458
66,816.969,0.46607,0.37303,0.94921,0.92188,0.79445,0.85655,0.62332,0.99027,0.87386,1.35215,0.000445625,0.000445625,0.000445625
67,829.263,0.45635,0.36417,0.94588,0.88653,0.85313,0.8949,0.66025,0.95059,0.73986,1.2871,0.00043325,0.00043325,0.00043325
68,842.236,0.45052,0.36689,0.9467,0.84435,0.74523,0.78047,0.54149,1.0418,1.27447,1.43113,0.000420875,0.000420875,0.000420875
69,854.752,0.46267,0.36739,0.95339,0.90097,0.8253,0.87808,0.63508,0.95843,0.74571,1.31372,0.0004085,0.0004085,0.0004085
70,866.933,0.44671,0.35486,0.9445,0.88879,0.87003,0.92526,0.68178,0.9417,0.65006,1.30903,0.000396125,0.000396125,0.000396125
71,879.128,0.44772,0.3604,0.94687,0.90006,0.85796,0.90337,0.6645,0.95435,0.71092,1.31382,0.00038375,0.00038375,0.00038375
72,891.347,0.44081,0.35258,0.94039,0.90575,0.80697,0.8855,0.66652,0.94772,0.73847,1.31088,0.000371375,0.000371375,0.000371375
73,903.612,0.43107,0.34728,0.93401,0.87299,0.85957,0.8823,0.6556,0.93535,0.77553,1.28979,0.000359,0.000359,0.000359
74,915.773,0.43713,0.34429,0.93709,0.92319,0.82558,0.90469,0.68203,0.92583,0.68793,1.29891,0.000346625,0.000346625,0.000346625
75,927.972,0.42853,0.3415,0.93605,0.87247,0.87023,0.89766,0.66666,0.92991,0.72202,1.29342,0.00033425,0.00033425,0.00033425
76,940.16,0.43598,0.33997,0.93972,0.89878,0.87038,0.89852,0.6414,0.95218,0.73457,1.30732,0.000321875,0.000321875,0.000321875
77,952.329,0.42487,0.33498,0.9324,0.9032,0.86546,0.90585,0.66886,0.9436,0.71986,1.29742,0.0003095,0.0003095,0.0003095
78,964.628,0.41586,0.32366,0.92713,0.92043,0.84196,0.91304,0.68285,0.92438,0.67021,1.27854,0.000297125,0.000297125,0.000297125
79,977.245,0.41299,0.32617,0.92667,0.91344,0.87584,0.90641,0.66841,0.91328,0.69859,1.26549,0.00028475,0.00028475,0.00028475
80,989.505,0.4164,0.33142,0.9364,0.88061,0.86167,0.89995,0.65753,0.92718,0.76217,1.27952,0.000272375,0.000272375,0.000272375
81,1001.79,0.41204,0.32344,0.93303,0.91188,0.81912,0.88794,0.67115,0.92835,0.75584,1.2927,0.00026,0.00026,0.00026
82,1014.07,0.40117,0.31458,0.91823,0.91268,0.8615,0.90068,0.67916,0.9287,0.7083,1.29862,0.000247625,0.000247625,0.000247625
83,1026.26,0.40977,0.31639,0.92467,0.89485,0.85242,0.89082,0.66764,0.92414,0.71598,1.31131,0.00023525,0.00023525,0.00023525
84,1038.47,0.39826,0.31735,0.92049,0.89325,0.85488,0.89574,0.65357,0.96462,0.73758,1.32944,0.000222875,0.000222875,0.000222875
85,1050.63,0.38546,0.29934,0.91954,0.86704,0.88709,0.89711,0.66584,0.92194,0.69187,1.28255,0.0002105,0.0002105,0.0002105
